"","water_yr","Station","combo_name","Date","tempC","DO..mg.L.","DO_sat....","Biochemical.Oxygen.Demand..mg.L.","pH..si.","Total.Solids..mg.L.","Ammonia..mg.L.","Nitrate.as.N.mg.L.","Total.Phosphorus..mg.L.","ecoli..MPN.","fecal.coliform..MPN.","temp_si","temp_cond","bod_si","bod_cond","ph_si","ph_cond","n_si","n_cond","p_si","p_cond","do_si","do_cond","ts_si","ts_cond","ecoli_si","fec_si","bact_si","bact_cond","owqi","owqi_cond"
"1","2013","10461","WIL_LWR  Tualatin R at Rood Bridge","10/2/12","13.4","9.2","88","1","7.57","87","0.005","0.133","0.06","121",NA,"98","Excellent","82","Fair","100","Excellent","94","Excellent","82","Fair","94","Excellent","78","Poor","87",NA,"87","Good","88","Good"
"2","2013","10363","WIL_MID  Yamhill R at Dayton","10/2/12","17.5","8.5","89","1.6","7.8","153","0.005","1.11","0.06","23",NA,"89","Good","73","Poor","100","Excellent","60","Poor","82","Fair","89","Good","55","Very Poor","98",NA,"98","Excellent","75","Poor"
"3","2013","10480","WIL_LWR  Beaverton Creek at 216th (Orenco)","10/2/12","14.6","5.9","57","1.1","7.8","293","0.031","0.279","0.28","345",NA,"96","Excellent","80","Fair","100","Excellent","87","Good","10","Very Poor","59","Very Poor","10","Very Poor","65",NA,"65","Poor","20","Very Poor"
"4","2013","10458","WIL_LWR  Tualatin R at Elsner Rd","10/2/12","15.6","7.2","71","0.7","7.4","206","0.04","3.1","0.08","29",NA,"94","Excellent","87","Good","100","Excellent","10","Very Poor","76","Poor","77","Poor","41","Very Poor","98",NA,"98","Excellent","27","Very Poor"
"5","2013","10459","WIL_LWR  Tualatin R at HWY 210 (Scholls)","10/2/12","15.6","8.1","80","0.7","7.5","235","0.109","4.32","0.08","73",NA,"94","Excellent","87","Good","100","Excellent","10","Very Poor","76","Poor","86","Good","36","Very Poor","93",NA,"93","Excellent","26","Very Poor"
"6","2013","10469","WIL_LWR  Fanno Creek at Bonita Rd (Tigard)","10/2/12","14.3","5.6","54","1.3","7.6","246","0.029","0.427","0.12","248",NA,"97","Excellent","77","Poor","100","Excellent","81","Fair","64","Poor","54","Very Poor","34","Very Poor","74",NA,"74","Poor","61","Poor"
"7","2013","10929","WIL_MID  N Yamhill R at Poverty Bend Rd","10/2/12","14.8","8.6","83","1","7.6","134","0.005","0.289","0.05","140",NA,"96","Excellent","82","Fair","100","Excellent","87","Good","85","Good","90","Excellent","61","Poor","85",NA,"85","Good","83","Fair"
"8","2013","10456","WIL_LWR  Tualatin R at Boones Ferry Rd","10/2/12","15.8","6.6","66","0.6","7.4","204","0.083","3.62","0.07","29",NA,"94","Excellent","89","Good","100","Excellent","10","Very Poor","79","Poor","69","Poor","42","Very Poor","98",NA,"98","Excellent","27","Very Poor"
"9","2013","10948","WIL_MID  S Yamhill R at HWY 99W","10/2/12","16.8","8.8","91","1","7.7","124","0.013","0.091","0.04","19",NA,"91","Excellent","82","Fair","100","Excellent","95","Excellent","88","Good","92","Excellent","64","Poor","98",NA,"98","Excellent","86","Good"
"10","2013","10801","WIL_LWR  Swan Island Channel (Willamette R)","10/3/12","16.8","10.2","105","1.8","7.7","74","0.033","0.162","0.05","9",NA,"91","Excellent","70","Poor","100","Excellent","91","Excellent","85","Good","94","Excellent","83","Fair","98",NA,"98","Excellent","88","Good"
"11","2013","10332","WIL_LWR  Willamette R at SP&S RR  Bridge (Portland)","10/3/12","16","9.9","99","0.9","7.5","76","0.04","0.25","0.06","11",NA,"93","Excellent","84","Fair","100","Excellent","87","Good","82","Fair","98","Excellent","83","Fair","98",NA,"98","Excellent","90","Excellent"
"12","2013","10616","COL  Columbia R at Marker 47 (us Willamette)","10/3/12","17.7","9.7","101","1","8.1","96","0.032","0.179","0.02","1",NA,"88","Good","82","Fair","95","Excellent","91","Excellent","94","Excellent","99","Excellent","74","Poor","98",NA,"98","Excellent","89","Good"
"13","2013","10611","WIL_LWR  Willamette R at Hawthorne Bridge","10/3/12","16.2","10.1","101","0.8","7.6","82","0.037","0.236","0.05","4",NA,"93","Excellent","85","Good","100","Excellent","88","Good","85","Good","99","Excellent","80","Fair","98",NA,"98","Excellent","90","Excellent"
"14","2013","11201","WIL_LWR  Columbia Slough at Landfill Rd","10/3/12","15.3","12.6","125","3.2","7.9","232","0.005","2.45","0.16","30",NA,"95","Excellent","53","Very Poor","100","Excellent","32","Very Poor","52","Very Poor","74","Poor","36","Very Poor","98",NA,"98","Excellent","52","Very Poor"
